count	time
4061	2483423
4062	2483508
4063	2484160
4064	2484295
4065	2484811
4066	2484920
4067	2485015
4068	2485024
4069	2485106
4070	2485278
4071	2485347
4072	2485501
4073	2485599
4074	2485922
4075	2486081
4076	2486202
4077	2486501
4078	2487125
4079	2487423
4080	2487478
4081	2487573
4082	2487706
4083	2487724
4084	2487889
4085	2488065
4086	2488633
4087	2488941
4088	2489288
4089	2489418
4090	2490186
4091	2490522
4092	2490783
4093	2492811
4094	2492912
4095	2495090
4096	2495830
4097	2496930
4098	2497058
4099	2497349
4100	2497507
4101	2498452
4102	2498625
4103	2499126
4104	2499880
4105	2500484
4106	2500646
4107	2500751
4108	2501028
4109	2523187
4110	2524179
4111	2524529
4112	2524826
4113	2525563
4114	2525979
4115	2526152
4116	2526263
4117	2526320
4118	2526618
4119	2526885
4120	2527034
4121	2527297
4122	2527531
4123	2527766
4124	2527960
4125	2527988
4126	2527992
4127	2528110
4128	2528188
4129	2528277
4130	2528325
4131	2528476
4132	2528578
4133	2528609
4134	2528763
4135	2529049
4136	2529061
4137	2529093
4138	2529116
4139	2529175
4140	2529262
4141	2529292
4142	2529313
4143	2529347
4144	2529347
4145	2529385
4146	2529438
4147	2529526
4148	2529537
4149	2529563
4150	2529672
4151	2529876
4152	2530089
4153	2530110
4154	2530291
4155	2530321
4156	2530455
4157	2530492
4158	2530533
4159	2530560
4160	2530637
4161	2530663
4162	2530707
4163	2530728
4164	2530756
4165	2530825
4166	2530862
4167	2530877
4168	2530931
4169	2530996
4170	2531080
4171	2531100
4172	2531143
4173	2531213
4174	2531218
4175	2531254
4176	2531426
4177	2531448
4178	2531483
4179	2531502
4180	2531506
4181	2531620
4182	2531709
4183	2531715
4184	2531718
4185	2531746
4186	2531770
4187	2531777
4188	2531879
4189	2531905
4190	2532054
4191	2532164
4192	2532300
4193	2532380
4194	2532391
4195	2532471
4196	2532540
4197	2532645
4198	2532666
4199	2532830
4200	2532832
4201	2532853
4202	2532900
4203	2533035
4204	2533044
4205	2533069
4206	2533136
4207	2533145
4208	2533156
4209	2533239
4210	2533310
4211	2533321
4212	2533344
4213	2533372
4214	2533424
4215	2533491
4216	2533509
4217	2533554
4218	2533560
4219	2533669
4220	2533692
4221	2533714
4222	2533739
4223	2533769
4224	2533832
4225	2533868
4226	2533869
4227	2533909
4228	2533983
4229	2534060
4230	2534113
4231	2534159
4232	2534256
4233	2534276
4234	2534316
4235	2534408
4236	2534445
4237	2534455
4238	2534456
4239	2534502
4240	2534504
4241	2534600
4242	2534634
4243	2534652
4244	2534653
4245	2534771
4246	2534784
4247	2534803
4248	2534832
4249	2534838
4250	2534860
4251	2534972
4252	2534989
4253	2535044
4254	2535090
4255	2535091
4256	2535123
4257	2535162
4258	2535298
4259	2535300
4260	2535449
4261	2535493
4262	2535497
4263	2535666
4264	2535668
4265	2535794
4266	2535839
4267	2535923
4268	2536013
4269	2536179
4270	2536313
4271	2536337
4272	2536346
4273	2536515
4274	2536664
4275	2536695
4276	2536832
4277	2536840
4278	2537023
4279	2537057
4280	2537154
4281	2537215
4282	2537234
4283	2537400
4284	2537406
4285	2537511
4286	2537784
4287	2537819
4288	2538595
4289	2538807
4290	2538848
4291	2538849
4292	2538956
4293	2539144
4294	2539194
4295	2539200
4296	2539230
4297	2539283
4298	2539386
4299	2539393
4300	2539553
4301	2539758
4302	2539865
4303	2540004
4304	2540194
4305	2540290
4306	2540319
4307	2540394
4308	2540583
4309	2540719
4310	2540861
4311	2540944
4312	2541187
4313	2541655
4314	2541783
4315	2542183
4316	2542313
4317	2542369
4318	2542518
4319	2542563
4320	2542563
4321	2542666
4322	2542762
4323	2542769
4324	2542830
4325	2543003
4326	2543274
4327	2543275
4328	2543424
4329	2543620
4330	2543779
4331	2543792
4332	2544081
4333	2544136
4334	2544245
4335	2544547
4336	2544709
4337	2544711
4338	2544870
4339	2545324
4340	2545462
4341	2545517
4342	2545544
4343	2545759
4344	2545839
4345	2546002
4346	2546066
4347	2546242
4348	2546255
4349	2546428
4350	2546858
4351	2547092
4352	2547163
4353	2547253
4354	2547433
4355	2547490
4356	2547594
4357	2547618
4358	2547622
4359	2547785
4360	2548019
4361	2548159
4362	2548206
4363	2548317
4364	2548502
4365	2548808
4366	2549111
4367	2549383
4368	2549387
4369	2549456
4370	2549585
4371	2549833
4372	2550008
4373	2550067
4374	2550200
4375	2550226
4376	2550297
4377	2550383
4378	2550481
4379	2550649
4380	2550849
4381	2551047
4382	2551230
4383	2551407
4384	2551606
4385	2551609
4386	2551629
4387	2552480
4388	2553001
4389	2553044
4390	2553213
4391	2553280
4392	2553297
4393	2553442
4394	2553786
4395	2553901
4396	2554062
4397	2554251
4398	2554353
4399	2554611
4400	2554724
4401	2554727
4402	2554960
4403	2555141
4404	2555183
4405	2555193
4406	2555312
4407	2555352
4408	2555362
4409	2555499
4410	2555499
4411	2555577
4412	2555634
4413	2555682
4414	2555762
4415	2555811
4416	2555842
4417	2555995
4418	2556021
4419	2556194
4420	2556568
4421	2556590
4422	2556902
4423	2557031
4424	2557086
4425	2557195
4426	2557332
4427	2557356
4428	2557589
4429	2557846
4430	2558188
4431	2558258
4432	2558397
4433	2558608
4434	2559825
4435	2560175
4436	2560295
4437	2560371
4438	2560471
4439	2560736
4440	2560791
4441	2561059
4442	2561146
4443	2561347
4444	2561419
4445	2561447
4446	2561544
4447	2561547
4448	2561555
4449	2561645
4450	2561712
4451	2561749
4452	2561905
4453	2561956
4454	2562056
4455	2562091
4456	2562117
4457	2562125
4458	2562236
4459	2562381
4460	2562420
4461	2562508
4462	2562542
4463	2562740
4464	2562803
4465	2563326
4466	2563395
4467	2563609
4468	2563609
4469	2563808
4470	2563832
4471	2563869
4472	2563978
4473	2563987
4474	2564031
4475	2564053
4476	2564203
4477	2564437
4478	2564602
4479	2564704
4480	2564779
4481	2564929
4482	2564955
4483	2565129
4484	2565186
4485	2565196
4486	2565370
4487	2565406
4488	2565423
4489	2565488
4490	2565649
4491	2565657
4492	2565696
4493	2565832
4494	2565923
4495	2565931
4496	2566015
4497	2566103
4498	2566145
4499	2566175
4500	2566218
4501	2566300
4502	2566317
4503	2566354
4504	2566444
4505	2566520
4506	2566627
4507	2566705
4508	2566778
4509	2566854
4510	2566968
4511	2566979
4512	2567173
4513	2567492
4514	2567694
4515	2567727
4516	2567897
4517	2568017
4518	2568197
4519	2568263
4520	2568664
4521	2568728
4522	2569019
4523	2569038
4524	2570194
4525	2570694
4526	2571393
4527	2572072
4528	2572525
4529	2573050
4530	2573316
4531	2573416
4532	2573447
4533	2573476
4534	2573554
4535	2573575
4536	2574356
4537	2574643
4538	2575828
4539	2575959
4540	2576081
4541	2578261
4542	2578391
4543	2578447
4544	2578575
4545	2579087
4546	2579723
4547	2581358
4548	2581792
4549	2581890
4550	2582990
4551	2583483
4552	2583671
4553	2585599
4554	2586367
4555	2589118
4556	2612523
4557	2612819
4558	2612992
4559	2613572
4560	2614216
4561	2614355
4562	2614377
4563	2614434
4564	2614547
4565	2614844
4566	2615024
4567	2615223
